MasterRank,TeamRank,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
11,,madisoncollege,Braylen Blue,2,So.,Guard,Guard,6'5,185,12,4.075,4.4,3.3,5,10.5,3.1666666666666665,2.0,0.8333333333333334,1.9166666666666667,0.08333333333333333,1.1666666666666667,6.916666666666667,5.166666666666667,1.75,0.5,2.6666666666666665,0.6830008673026887,0.6385542168674698,123.23943661971832,0.09382915458316507,2.4,0.09780907668231613,0.41935483870967744,0.7469879518072289,0.25301204819277107,1.021972406745018,2.452733776188043,3.883495145631068,1.430761369443025,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Elite
12,,schoolcraftcollege,Tyler Robinson,,Freshman,,Wing,6'7,,13,4.07,3.6500000000000004,4.7,4,13.307692307692308,8.615384615384615,0.6923076923076923,1.1538461538461537,1.1538461538461537,1.6923076923076923,2.0,7.846153846153846,0.7692307692307693,3.3076923076923075,3.6153846153846154,5.0,0.715348991068475,0.7009803921568627,127.28075338434371,0.11837658944434769,0.6,0.11035903472630958,0.5,0.09803921568627451,0.4215686274509804,1.557632398753894,3.842159916926272,11.630321910695743,2.699896157840083,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good
13,,sneadstatecommunitycollege,Ansar Osman,,,,Wing,,,15,4.0200000000000005,4.9,3.2,3,21.133333333333333,5.2,4.666666666666667,1.2666666666666666,1.2666666666666666,0.2,1.8,11.933333333333334,6.8,5.066666666666666,1.2666666666666666,3.933333333333333,0.7460930144982113,0.7206703910614525,136.96854476322156,0.2007981953843484,3.6842105263157894,0.08209471137227792,0.5294117647058824,0.5698324022346368,0.4245810055865922,1.8821198613174839,2.1792966815255075,7.726597325408618,2.674591381872214,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
14,,palmbeachstatecollege,Marvin Golf,,,,Wing,,,17,3.9750000000000005,3.5500000000000003,5.0,3,12.411764705882353,9.941176470588236,2.9411764705882355,1.7647058823529411,1.8823529411764706,0.47058823529411764,1.9411764705882353,8.647058823529411,1.2941176470588236,3.7058823529411766,3.0588235294117645,6.882352941176471,0.60382326007326,0.5408163265306123,103.06760453302071,0.14357852213432082,1.6666666666666667,0.14654161781946073,0.3181818181818182,0.14965986394557823,0.42857142857142855,2.4742268041237114,3.2989690721649483,13.938144329896907,2.7216494845360826,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Unknown
15,,pimacommunitycollege,Taevean Famutimi-Brown,0,Sophomore,Guard,Guard,6'3,,10,3.9199999999999995,3.9499999999999997,3.85,4,10.5,3.5,3.9,1.4,2.5,0.3,0.7,5.6,1.5,2.5,0.8,2.7,0.7835820895522388,0.7678571428571429,129.62962962962962,0.0785248953001396,2.7857142857142856,0.1728395061728395,0.4,0.26785714285714285,0.44642857142857145,1.5538290788013318,3.1076581576026636,3.8845726970033296,0.7769145394006659,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
16,,iowacentralcommunitycollege,Manny Lueth,2,,Position: G,Guard,6'7,180,15,3.8825000000000003,4.4,2.75,5,9.4,2.8,0.6,0.26666666666666666,0.4,1.0666666666666667,1.4,7.4,5.266666666666667,0.7333333333333333,0.26666666666666666,2.533333333333333,0.6085980662983426,0.6036036036036037,117.65687583444593,0.09057105716617793,2.25,0.03337783711615487,0.43037974683544306,0.7117117117117117,0.0990990990990991,0.3504161191414805,1.9272886552781427,3.679369250985545,1.8396846254927726,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
17,,pimacommunitycollege,Brock Mendoza,21,Sophomore,Center,Big,6'11,,11,3.8725000000000005,4.050000000000001,3.25,5,15.0,9.090909090909092,1.0,2.0,1.0909090909090908,2.272727272727273,1.1818181818181819,9.363636363636363,0.36363636363636365,3.6363636363636362,2.909090909090909,6.181818181818182,0.6840796019900498,0.6699029126213593,115.70827489481066,0.12890045919658677,0.5,0.15427769985974754,0.5,0.038834951456310676,0.3883495145631068,2.2715539494062984,3.820340733092411,10.325245224574084,1.342281879194631,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Elite,5,Very Good,4,Elite
18,,parklandcollege,Jaiden Martin,30,,SG,Guard,6'4,,15,3.8575,4.45,2.6,5,23.666666666666668,4.866666666666666,2.3333333333333335,1.5333333333333334,1.3333333333333333,0.2,2.2,14.666666666666666,4.4,7.0,1.2666666666666666,3.6,0.6667918858001503,0.6136363636363636,122.7524204702628,0.22105359708930805,1.5217391304347827,0.07952973720608576,0.45454545454545453,0.3,0.4772727272727273,2.006105538595726,2.006105538595726,6.367204535542957,2.878325337985172,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite
19,,chesapeakecollege,La'Shaun Moody,5,So,G,Guard,,,12,3.8450000000000006,3.9000000000000004,4.0,3,21.333333333333332,4.916666666666667,4.083333333333333,2.25,2.4166666666666665,0.0,1.75,16.083333333333332,7.666666666666667,5.0,1.3333333333333333,3.5833333333333335,0.5834092980856882,0.5751295336787565,103.8961038961039,0.23726071717444056,1.8148148148148149,0.10957792207792208,0.391304347826087,0.47668393782383417,0.31088082901554404,2.9719317556411666,3.1920748486516235,6.494221243808475,2.3115024766097965,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
20,,iowacentralcommunitycollege,CJ Mitchell,4,,Position: G,Guard,6'2,170,15,3.81,3.75,3.85,4,13.533333333333333,3.3333333333333335,5.733333333333333,2.066666666666667,2.0,0.13333333333333333,1.7333333333333334,10.333333333333334,3.6,2.2666666666666666,0.8,2.533333333333333,0.5971993410214168,0.5870967741935483,101.01512738853503,0.1518788355149793,2.774193548387097,0.15425955414012738,0.4444444444444444,0.34838709677419355,0.21935483870967742,2.7157249233464738,2.803328953131844,4.380201489268506,2.2777047744196235,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
